"","Enfermedad","Sintagma_nominal_completo","Definicion","Lema"
"infeccion1","hepatitis","La hepatitis viral","","hepatitis"
"infeccion2","hepatitis","hepatitis","","hepatitis"
"infeccion3","hepatitis","la hepatitis","","hepatitis"
"infeccion4","hepatitis","un solo centro evaluamos a todos los pacientes que se admitieron con clínica de hepatitis viral aguda en nuestro hospital en el periodo de febrero a julio del 2015","","hepatitis"
"infeccion5","hepatitis",", HEV IgM, HbsAg y anticuerpo anti hepatitis C.","","hepatitis"
"infeccion6","hepatitis","hepatitis","","hepatitis"
"infeccion7","hepatitis","hepatitis","","hepatitis"
"infeccion8","hepatitis","hepatitis","","hepatitis"
"infeccion9","hepatitis","hepatitis","","hepatitis"
"infeccion10","hepatitis","hepatitis","","hepatitis"
