"","Enfermedad","Sintagma_nominal_completo","Definicion","Lema"
"alteracion","hiperplasia","hiperplasia","La hiperplasia es un término médico que describe un aumento en el número de células en un tejido u órgano, lo que conduce a su crecimiento. Esta proliferación celular ocurre como respuesta a estímulos fisiológicos o patológicos, y puede ser reversible si se elimina la causa subyacente. La hiperplasia no implica necesariamente la presencia de células malignas, aunque en algunos casos puede predisponer al desarrollo de cáncer. Este fenómeno es común en diversas áreas de la medicina y puede afectar órganos como la próstata, el endometrio, las glándulas suprarrenales, entre otros. Comprender los mecanismos y causas de la hiperplasia es fundamental para su diagnóstico y manejo adecuado. Qué es hiperplasia La hiperplasia se refiere al crecimiento anormal de un tejido u órgano debido a un aumento en el número de células que lo componen. Es importante distinguirla de la hipertrofia, que se caracteriza por un aumento en el tamaño de las células, y no en su número. La hiperplasia puede ser fisiológica, como en el caso del endometrio durante el ciclo menstrual, o patológica, como en la hiperplasia prostática benigna. Causas de la hiperplasia Las causas de la hiperplasia pueden ser diversas y dependen del órgano afectado. Entre las más comunes se incluyen: Estímulos hormonales: Cambios en los niveles hormonales, como el exceso de estrógenos o andrógenos, pueden inducir hiperplasia en tejidos dependientes de estas hormonas. Inflamación crónica: Procesos inflamatorios prolongados pueden estimular la proliferación celular. Factores genéticos: Algunas hiperplasias tienen una predisposición genética. Estímulos mecánicos: La irritación o trauma repetitivo puede desencadenar hiperplasia en ciertos tejidos. Tipos de hiperplasia La hiperplasia puede clasificarse en diferentes tipos según su localización y causa: Hiperplasia prostática benigna: Aumento del tamaño de la próstata, común en hombres mayores de 50 años. Hiperplasia endometrial: Engrosamiento del endometrio, que puede estar asociado a un desequilibrio hormonal. Hiperplasia suprarrenal: Crecimiento excesivo de las glándulas suprarrenales, asociado a trastornos hormonales. Hiperplasia linfática: Aumento del tejido linfático como respuesta a infecciones o inflamación. Síntomas de la hiperplasia Los síntomas de la hiperplasia dependen del órgano afectado. Algunos de los más comunes incluyen: Problemas urinarios, como dificultad para orinar, en el caso de la hiperplasia prostática. Sangrado uterino anormal en la hiperplasia endometrial. Fatiga o hipertensión, asociada a la hiperplasia suprarrenal. Diagnóstico de hiperplasia El diagnóstico de la hiperplasia se realiza a través de: Examen físico para identificar el agrandamiento del órgano afectado. Pruebas de imagen, como ultrasonido, tomografía computarizada o resonancia magnética. Biopsias para analizar el tejido afectado. Pruebas de laboratorio para evaluar desequilibrios hormonales. Tratamiento de la hiperplasia El tratamiento depende de la causa y localización de la hiperplasia. Algunas opciones incluyen: Medicamentos: Terapias hormonales o inhibidores específicos pueden controlar el crecimiento celular. Procedimientos quirúrgicos: En casos graves, como la hiperplasia prostática obstructiva, puede ser necesaria una resección quirúrgica. Modificación del estilo de vida: Dieta equilibrada y control de factores desencadenantes como el estrés. Cuándo acudir al médico Debe consultarse a un médico si se presentan: Síntomas persistentes o progresivos como dolor o dificultad para orinar. Sangrado anormal que no se asocia con el ciclo menstrual. Cualquier crecimiento anormal detectable al tacto. Preguntas frecuentes ¿La hiperplasia siempre requiere tratamiento? No siempre. En algunos casos, como la hiperplasia fisiológica, no se requiere intervención. Sin embargo, es fundamental evaluar cada caso individualmente. ¿La hiperplasia puede evolucionar a cáncer? En algunos casos, como la hiperplasia endometrial atípica, existe un riesgo aumentado de progresión a cáncer. Es esencial el monitoreo médico. ¿Cómo se puede prevenir la hiperplasia? Llevar un estilo de vida saludable, mantener un peso adecuado y realizar chequeos médicos regulares pueden ayudar a prevenir ciertas formas de hiperplasia. ¿Qué diferencia hay entre hiperplasia e hipertrofia? La hiperplasia implica un aumento en el número de células, mientras que la hipertrofia se refiere a un aumento en el tamaño de las células existentes. © Clínica Universidad de Navarra 2023","hiperplasia"
"infeccion1","colitis","colitis microscópica","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion2","colitis","colitis","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion3","colitis","colitis linfocítica","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion4","colitis",", colitis","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion5","colitis","colitis","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion6","colitis","colitis linfocítica","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion7","colitis",", colitis colagenosa","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion8","colitis","colitis","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion9","colitis","colitis linfocítica","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion10","colitis","colitis colagenosa","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion11","colitis","colitis linfocítica","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion12","colitis","colitis","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
