"","Enfermedad","Sintagma_nominal_completo","Definicion","Lema"
"infeccion1","Colitis",": Colitis linfocítica","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","Colitis"
"infeccion2","enteritis","enteritis microscópica","f. Cualquier inflamación, aguda o crónica, del intestino delgado. Puede ser de origen isquémico, por radiación (enteritis rádica) o más frecuentemente infecciosa (bacteriana, viral o parasitaria): gastroenteritis (con predominio de vómitos) o enterocolitis (con predominio de diarrea).","enteritis"
"infeccion3","colitis","colitis","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion4","enteritis","enteritis microscópica","f. Cualquier inflamación, aguda o crónica, del intestino delgado. Puede ser de origen isquémico, por radiación (enteritis rádica) o más frecuentemente infecciosa (bacteriana, viral o parasitaria): gastroenteritis (con predominio de vómitos) o enterocolitis (con predominio de diarrea).","enteritis"
"infeccion5","colitis",", en colitis linfocítica","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion6","ileitis","como ileitis linfocítica","f. Proceso inflamatorio que afecta al íleon, porción de intestino delgado entre el yeyuno y el colon. Generalmente puede asociarse a otras porciones del tubo digestivo. Distintas enfermedades tienen predilección por la zona final (ileítis terminal): enfermedad de Crohn, tuberculosis, infecciones, etc.","ileitis"
"infeccion7","colitis","colitis eosinofílica","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion8","colitis","colitis linfocítica","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion9","colitis","colitis linfocítica","f. Estado patológico que se caracteriza por un trastorno inflamatorio del colon que puede ser limitado o difundido por todo él. Existen diferentes tipo de colitis, según su etiología, evolución, etc.","colitis"
"infeccion10","enteritis",", enteritis microscópica","f. Cualquier inflamación, aguda o crónica, del intestino delgado. Puede ser de origen isquémico, por radiación (enteritis rádica) o más frecuentemente infecciosa (bacteriana, viral o parasitaria): gastroenteritis (con predominio de vómitos) o enterocolitis (con predominio de diarrea).","enteriti"
"infeccion11","ileitis","ileitis linfocítica","f. Proceso inflamatorio que afecta al íleon, porción de intestino delgado entre el yeyuno y el colon. Generalmente puede asociarse a otras porciones del tubo digestivo. Distintas enfermedades tienen predilección por la zona final (ileítis terminal): enfermedad de Crohn, tuberculosis, infecciones, etc.","ileiti"
