"","Enfermedad","Sintagma_nominal_completo","Definicion","Lema"
"alteracion1","hipofisiarios",", hipofisiarios","","hipofisiario"
"alteracion2","hiperaldosteronismo","hiperaldosteronismo","El hiperaldosteronismo es un trastorno hormonal caracterizado por la producción excesiva de aldosterona, una hormona sintetizada por las glándulas suprarrenales. La aldosterona desempeña un papel crucial en la regulación del equilibrio de sodio, potasio y agua en el organismo, lo que afecta directamente la presión arterial y el volumen sanguíneo. Este exceso de aldosterona puede dar lugar a hipertensión arterial, hipopotasemia y otras complicaciones cardiovasculares y renales. El hiperaldosteronismo se clasifica en dos tipos principales: primario y secundario, según la causa subyacente. El diagnóstico temprano y un tratamiento adecuado son esenciales para prevenir complicaciones graves y mejorar la calidad de vida de los pacientes. Qué es el hiperaldosteronismo El hiperaldosteronismo es un síndrome endocrino que se produce cuando las glándulas suprarrenales generan cantidades excesivas de aldosterona. Esta hormona regula el equilibrio de sodio y potasio en el organismo, promoviendo la reabsorción de sodio y agua en los riñones y la excreción de potasio. El exceso de aldosterona aumenta el volumen sanguíneo, lo que puede provocar hipertensión arterial resistente al tratamiento convencional. Dependiendo de su causa, el hiperaldosteronismo se clasifica en: Hiperaldosteronismo primario: Se origina en las glándulas suprarrenales, a menudo por un adenoma productor de aldosterona (síndrome de Conn) o hiperplasia suprarrenal bilateral. Hiperaldosteronismo secundario: Es una respuesta compensatoria a condiciones externas como insuficiencia cardíaca, cirrosis hepática o estenosis de la arteria renal. Síntomas del hiperaldosteronismo Los síntomas del hiperaldosteronismo varían según la severidad y la causa subyacente. Los más comunes incluyen: Hipertensión arterial: Frecuentemente resistente a medicamentos antihipertensivos convencionales. Hipopotasemia: Bajo nivel de potasio en sangre, que puede causar debilidad muscular, calambres, fatiga y arritmias cardíacas. Poliuria: Aumento en la producción de orina. Polidipsia: Sed excesiva debido a la pérdida de líquidos. Dolor de cabeza y mareos: Asociados a la hipertensión. Causas del hiperaldosteronismo El hiperaldosteronismo puede tener diversas causas dependiendo de su clasificación: Causas del hiperaldosteronismo primario Adenoma productor de aldosterona: También conocido como síndrome de Conn, es la causa más común del hiperaldosteronismo primario. Hiperplasia suprarrenal bilateral: Crecimiento excesivo de ambas glándulas suprarrenales. Carcinoma suprarrenal: En casos raros, puede causar producción excesiva de aldosterona. Causas del hiperaldosteronismo secundario Estenosis de la arteria renal: Disminuye el flujo sanguíneo a los riñones, lo que estimula la producción de aldosterona. Insuficiencia cardíaca: El corazón no bombea suficiente sangre, lo que activa el sistema renina-angiotensina-aldosterona. Cirrosis hepática: Provoca retención de líquidos y estimulación hormonal. Diagnóstico del hiperaldosteronismo El diagnóstico del hiperaldosteronismo incluye una combinación de pruebas clínicas, bioquímicas e imagenológicas. Las principales herramientas diagnósticas son: Pruebas sanguíneas: Determinación de los niveles de aldosterona y actividad de renina plasmática. Una relación aldosterona/renina elevada sugiere hiperaldosteronismo primario. Test de supresión salina: Evalúa si la producción de aldosterona disminuye con una carga de sodio. Imágenes por TAC o resonancia magnética: Para identificar adenomas o hiperplasia suprarrenal. Cateterismo de venas suprarrenales: Mide directamente los niveles de aldosterona en cada glándula suprarrenal. Tratamiento del hiperaldosteronismo El tratamiento del hiperaldosteronismo depende de su causa subyacente: Hiperaldosteronismo primario Cirugía: En casos de adenomas suprarrenales, la adrenalectomía (extirpación de la glándula afectada) es la opción más eficaz. Tratamiento farmacológico: Uso de antagonistas de la aldosterona, como espironolactona o eplerenona, para bloquear sus efectos. Hiperaldosteronismo secundario Tratamiento de la causa subyacente: Como la revascularización en estenosis de la arteria renal o manejo de la insuficiencia cardíaca. Diuréticos: Ayudan a controlar la hipertensión y el equilibrio de líquidos. Cuándo acudir al médico Se recomienda buscar atención médica si se presentan los siguientes síntomas: Hipertensión arterial resistente: Presión arterial alta que no responde a múltiples medicamentos. Debilidad muscular: Especialmente si se acompaña de calambres o fatiga excesiva. Palpitaciones o arritmias: Asociadas a niveles bajos de potasio. Precauciones y recomendaciones Para prevenir y manejar el hiperaldosteronismo, se sugieren las siguientes medidas: Control regular de la presión arterial: Especialmente en personas con antecedentes familiares de hipertensión. Seguir una dieta equilibrada: Baja en sodio y rica en potasio. Consultar a un especialista: Ante cualquier síntoma persistente o sospecha de trastornos hormonales. Preguntas frecuentes sobre el hiperaldosteronismo ¿El hiperaldosteronismo puede ser hereditario? Sí, en algunos casos, como el hiperaldosteronismo familiar tipo I, existe un componente genético que puede predisponer a esta condición. ¿Se puede controlar el hiperaldosteronismo sin cirugía? Sí, los antagonistas de la aldosterona son efectivos para manejar los síntomas en casos no quirúrgicos, especialmente en hiperplasia suprarrenal bilateral. ¿Qué alimentos son recomendables para pacientes con hiperaldosteronismo? Alimentos ricos en potasio, como plátanos, espinacas y aguacates, y una dieta baja en sodio son recomendados para mejorar el equilibrio electrolítico. ¿El hiperaldosteronismo puede causar daño renal? Sí, el exceso de aldosterona puede llevar a hipertensión crónica y daño renal si no se controla adecuadamente. © Clínica Universidad de Navarra 2023","hiperaldosteronismo"
"cancer1","incidentaloma",", hallazgo conocido como incidentaloma suprarrenal","m. Descubrimiento en ecografía, TAC o resonancia magnética del abdomen de una glándula suprarrenal, aumentada de tamaño, aunque asintomática, sin relación con el proceso por el que se solicitó la prueba radiológica de diagnóstico. La mayoría de las veces son adenomas de suprarrenal no funcionantes, que no requieren tratamiento, pero se prestan al diagnóstico diferencial por su tamaño con carcinomas de suprarrenal, metástasis, feocromocitomas, aldosteronoma y otros tumores de suprarrenal. Ver cirugía endocrina, diagnóstico diferencial.","incidentalomar"
"cancer2","carcinoma","carcinoma renal","m. Neoplasia maligna constituida por células epiteliales anáplasicas con capacidad metastásica.","carcinoma"
"cancer3","incidentaloma","un incidentaloma suprarrenal","m. Descubrimiento en ecografía, TAC o resonancia magnética del abdomen de una glándula suprarrenal, aumentada de tamaño, aunque asintomática, sin relación con el proceso por el que se solicitó la prueba radiológica de diagnóstico. La mayoría de las veces son adenomas de suprarrenal no funcionantes, que no requieren tratamiento, pero se prestan al diagnóstico diferencial por su tamaño con carcinomas de suprarrenal, metástasis, feocromocitomas, aldosteronoma y otros tumores de suprarrenal. Ver cirugía endocrina, diagnóstico diferencial.","incidentalomar"
"cancer4","carcinoma","carcinoma adrenal","m. Neoplasia maligna constituida por células epiteliales anáplasicas con capacidad metastásica.","carcinoma"
"cancer5","feocromocitoma","feocromocitoma","f. Tumoración, originada en las células encargadas de la síntesis de la adrenalina y la noradrenalina, de la médula de la glándula suprarrenal y de otros paraganglios (paraganglioma). Tumor que se manifiesta, en la mayoría de las ocasiones, de manera benigna, compuesto por células de mediano tamaño, con un citoplasma amplio acidófilo y una abundante red vascular. Desde el punto de vista clínico, si hay producción de hormonas, se manifiesta con crisis hipertensivas, sudoración, hiperglucemia y arritmias cardiacas, por el efecto de las hormonas producidas.","feocromocitomo"
"cancer6","incidentaloma","el incidentaloma","m. Descubrimiento en ecografía, TAC o resonancia magnética del abdomen de una glándula suprarrenal, aumentada de tamaño, aunque asintomática, sin relación con el proceso por el que se solicitó la prueba radiológica de diagnóstico. La mayoría de las veces son adenomas de suprarrenal no funcionantes, que no requieren tratamiento, pero se prestan al diagnóstico diferencial por su tamaño con carcinomas de suprarrenal, metástasis, feocromocitomas, aldosteronoma y otros tumores de suprarrenal. Ver cirugía endocrina, diagnóstico diferencial.","incidentaloma"
"cancer7","feocromocitoma",", feocromocitoma","f. Tumoración, originada en las células encargadas de la síntesis de la adrenalina y la noradrenalina, de la médula de la glándula suprarrenal y de otros paraganglios (paraganglioma). Tumor que se manifiesta, en la mayoría de las ocasiones, de manera benigna, compuesto por células de mediano tamaño, con un citoplasma amplio acidófilo y una abundante red vascular. Desde el punto de vista clínico, si hay producción de hormonas, se manifiesta con crisis hipertensivas, sudoración, hiperglucemia y arritmias cardiacas, por el efecto de las hormonas producidas.","feocromocitoma"
"cancer8","incidentaloma","el incidentaloma adrenal","m. Descubrimiento en ecografía, TAC o resonancia magnética del abdomen de una glándula suprarrenal, aumentada de tamaño, aunque asintomática, sin relación con el proceso por el que se solicitó la prueba radiológica de diagnóstico. La mayoría de las veces son adenomas de suprarrenal no funcionantes, que no requieren tratamiento, pero se prestan al diagnóstico diferencial por su tamaño con carcinomas de suprarrenal, metástasis, feocromocitomas, aldosteronoma y otros tumores de suprarrenal. Ver cirugía endocrina, diagnóstico diferencial.","incidentaloma"
